c,yr,x,y,r2N,max_s,delta_t,phase,color
USA,2007-01-01,2007-01-01 00:00:00,0.20956910049631786,1.0000000003996832,1.0,0.0,Deactivated,black
UK,2007-01-01,2007-01-01 00:00:00,0.20956910049631786,2.0000000007993664,2.0,0.0,Deactivated,black
Australia,2008-01-01,2008-01-01 00:00:00,5.618822551923861,2.0007055535648246,2.0,0.0,Deactivated,black
Canada,2008-01-01,2008-01-01 00:00:00,8.938238266638331,0.9999999999999974,1.0,0.0,Deactivated,black
France,2008-01-01,2008-01-01 00:00:00,8.938238266638331,0.9999999999999974,1.0,0.0,Deactivated,black
New Zealand,2008-01-01,2008-01-01 00:00:00,8.938238266638331,0.9999999999999974,1.0,0.0,Deactivated,black
Singapore,2008-01-01,2008-01-01 00:00:00,8.938238266638331,0.9999999999999974,1.0,0.0,Deactivated,black
USA,2008-01-01,2008-01-01 00:00:00,6.889801917103515,12.001189633936324,12.0,0.0,Deactivated,black
UK,2008-01-01,2008-01-01 00:00:00,4.854750748822382,10.01018523681819,10.0,0.0,Deactivated,black
Australia,2008-07-01,2008-07-01 00:00:00,5.618822551923861,2.0007055535648246,2.0,0.0,Deactivated,black
Canada,2008-07-01,2008-07-01 00:00:00,4.923078052437361,2.001320734089046,2.0,0.0,Deactivated,black
Denmark,2008-07-01,2008-07-01 00:00:00,8.929470164936566,1.0000000000000109,1.0,0.0,Deactivated,black
France,2008-07-01,2008-07-01 00:00:00,8.938238266638331,0.9999999999999974,1.0,0.0,Deactivated,black
New Zealand,2008-07-01,2008-07-01 00:00:00,8.938238266638331,0.9999999999999974,1.0,0.0,Deactivated,black
Singapore,2008-07-01,2008-07-01 00:00:00,8.938238266638331,0.9999999999999974,1.0,0.0,Deactivated,black
Switzerland,2008-07-01,2008-07-01 00:00:00,8.928905102565974,0.9999999999999778,1.0,0.0,Deactivated,black
USA,2008-07-01,2008-07-01 00:00:00,4.950144662027379,18.993840761492883,19.0,0.0,Deactivated,black
UK,2008-07-01,2008-07-01 00:00:00,4.717121005470258,15.013204208628732,15.0,0.0,Deactivated,black
Australia,2009-01-01,2009-01-01 00:00:00,4.284638765957772,8.020587322757317,8.0,0.0,Deactivated,black
Brazil,2009-01-01,2009-01-01 00:00:00,8.92915341520533,1.0000000000000095,1.0,0.0,Deactivated,black
Canada,2009-01-01,2009-01-01 00:00:00,4.096911448076506,4.007445377731723,4.0,0.0,Deactivated,black
Czech Republic,2009-01-01,2009-01-01 00:00:00,8.92915341520533,1.0000000000000095,1.0,0.0,Deactivated,black
Denmark,2009-01-01,2009-01-01 00:00:00,3.9914075011905115,2.00359116999372,2.0,0.0,Deactivated,black
Fiji,2009-01-01,2009-01-01 00:00:00,8.92915341520533,1.0000000000000095,1.0,0.0,Deactivated,black
Finland,2009-01-01,2009-01-01 00:00:00,8.92915341520533,4.000000000000038,4.0,0.0,Deactivated,black
France,2009-01-01,2009-01-01 00:00:00,3.882382281454694,2.004133480144508,2.0,0.0,Deactivated,black
Germany,2009-01-01,2009-01-01 00:00:00,8.92915341520533,2.000000000000019,2.0,0.0,Deactivated,black
Greece,2009-01-01,2009-01-01 00:00:00,8.92915341520533,1.0000000000000095,1.0,0.0,Deactivated,black
Hungary,2009-01-01,2009-01-01 00:00:00,5.488111724490922,3.0000560551002935,3.0,0.0,Deactivated,black
Ireland,2009-01-01,2009-01-01 00:00:00,8.92915341520533,2.000000000000019,2.0,0.0,Deactivated,black
Italy,2009-01-01,2009-01-01 00:00:00,8.92915341520533,1.0000000000000095,1.0,0.0,Deactivated,black
Japan,2009-01-01,2009-01-01 00:00:00,8.92915341520533,1.0000000000000095,1.0,0.0,Deactivated,black
Malaysia,2009-01-01,2009-01-01 00:00:00,8.92915341520533,1.0000000000000095,1.0,0.0,Deactivated,black
Netherlands,2009-01-01,2009-01-01 00:00:00,8.92915341520533,1.0000000000000095,1.0,0.0,Deactivated,black
New Zealand,2009-01-01,2009-01-01 00:00:00,4.175418169660327,3.0039929342307623,3.0,0.0,Deactivated,black
Norway,2009-01-01,2009-01-01 00:00:00,8.92915341520533,1.0000000000000095,1.0,0.0,Deactivated,black
China,2009-01-01,2009-01-01 00:00:00,8.92915341520533,1.0000000000000095,1.0,0.0,Deactivated,black
Singapore,2009-01-01,2009-01-01 00:00:00,8.938238266638331,0.9999999999999974,1.0,0.0,Deactivated,black
South Africa,2009-01-01,2009-01-01 00:00:00,8.92915341520533,1.0000000000000095,1.0,0.0,Deactivated,black
South Korea,2009-01-01,2009-01-01 00:00:00,4.69961495317846,2.001700053745578,2.0,0.0,Deactivated,black
Switzerland,2009-01-01,2009-01-01 00:00:00,4.22630833350074,2.0027444987470204,2.0,0.0,Deactivated,black
U Arab Emirates,2009-01-01,2009-01-01 00:00:00,8.92915341520533,1.0000000000000095,1.0,0.0,Deactivated,black
USA,2009-01-01,2009-01-01 00:00:00,4.028564719300352,41.08207080319037,41.0,0.0,Deactivated,black
UK,2009-01-01,2009-01-01 00:00:00,3.9183810359549383,33.081415528532936,33.0,0.0,Deactivated,black
Australia,2009-07-01,2009-07-01 00:00:00,4.284638765957772,8.020587322757317,8.0,0.0,Deactivated,black
Brazil,2009-07-01,2009-07-01 00:00:00,8.92915341520533,1.0000000000000095,1.0,0.0,Deactivated,black
Canada,2009-07-01,2009-07-01 00:00:00,3.9415275749425924,6.014330956401492,6.0,0.0,Deactivated,black
Czech Republic,2009-07-01,2009-07-01 00:00:00,8.92915341520533,1.0000000000000095,1.0,0.0,Deactivated,black
Denmark,2009-07-01,2009-07-01 00:00:00,3.9914075011905115,2.00359116999372,2.0,0.0,Deactivated,black
Fiji,2009-07-01,2009-07-01 00:00:00,8.92915341520533,1.0000000000000095,1.0,0.0,Deactivated,black
Finland,2009-07-01,2009-07-01 00:00:00,8.92915341520533,4.000000000000038,4.0,0.0,Deactivated,black
France,2009-07-01,2009-07-01 00:00:00,3.882382281454694,2.004133480144508,2.0,0.0,Deactivated,black
Germany,2009-07-01,2009-07-01 00:00:00,5.388416666643614,2.999047182363109,3.0,0.0,Deactivated,black
Greece,2009-07-01,2009-07-01 00:00:00,8.92915341520533,1.0000000000000095,1.0,0.0,Deactivated,black
Hungary,2009-07-01,2009-07-01 00:00:00,5.488111724490922,3.0000560551002935,3.0,0.0,Deactivated,black
Ireland,2009-07-01,2009-07-01 00:00:00,8.289337675120509,3.000000000015261,3.0,0.0,Deactivated,black
Italy,2009-07-01,2009-07-01 00:00:00,8.92915341520533,1.0000000000000095,1.0,0.0,Deactivated,black
Japan,2009-07-01,2009-07-01 00:00:00,8.92915341520533,1.0000000000000095,1.0,0.0,Deactivated,black
Malaysia,2009-07-01,2009-07-01 00:00:00,8.92915341520533,1.0000000000000095,1.0,0.0,Deactivated,black
Netherlands,2009-07-01,2009-07-01 00:00:00,4.699572876910065,2.0017488236452037,2.0,0.0,Deactivated,black
New Zealand,2009-07-01,2009-07-01 00:00:00,4.175418169660327,3.0039929342307623,3.0,0.0,Deactivated,black
Norway,2009-07-01,2009-07-01 00:00:00,8.92915341520533,1.0000000000000095,1.0,0.0,Deactivated,black
China,2009-07-01,2009-07-01 00:00:00,8.92915341520533,1.0000000000000095,1.0,0.0,Deactivated,black
Philippines,2009-07-01,2009-07-01 00:00:00,8.929222328125704,1.0000000000000484,1.0,0.0,Deactivated,black
Singapore,2009-07-01,2009-07-01 00:00:00,8.938238266638331,0.9999999999999974,1.0,0.0,Deactivated,black
South Africa,2009-07-01,2009-07-01 00:00:00,8.92915341520533,1.0000000000000095,1.0,0.0,Deactivated,black
South Korea,2009-07-01,2009-07-01 00:00:00,4.69961495317846,2.001700053745578,2.0,0.0,Deactivated,black
Switzerland,2009-07-01,2009-07-01 00:00:00,4.22630833350074,2.0027444987470204,2.0,0.0,Deactivated,black
U Arab Emirates,2009-07-01,2009-07-01 00:00:00,8.92915341520533,1.0000000000000095,1.0,0.0,Deactivated,black
USA,2009-07-01,2009-07-01 00:00:00,3.932120665794919,50.103700458524216,50.0,0.0,Deactivated,black
UK,2009-07-01,2009-07-01 00:00:00,3.87373023753256,40.10301576870749,40.0,0.0,Deactivated,black
Australia,2010-01-01,2010-01-01 00:00:00,3.5837905626400577,16.058060726238622,16.0,0.0,Deactivated,black
Brazil,2010-01-01,2010-01-01 00:00:00,8.92915341520533,1.0000000000000095,1.0,0.0,Deactivated,black
Canada,2010-01-01,2010-01-01 00:00:00,3.8330343067999175,10.028020931270609,10.0,0.0,Deactivated,black
Chile,2010-01-01,2010-01-01 00:00:00,8.922052727531298,1.0000000000000033,1.0,0.0,Deactivated,black
Czech Republic,2010-01-01,2010-01-01 00:00:00,7.025503222214167,5.000376746740704,5.0,0.0,Deactivated,black
Denmark,2010-01-01,2010-01-01 00:00:00,3.5516186833555126,5.0245636866187295,5.0,0.0,Deactivated,black
Fiji,2010-01-01,2010-01-01 00:00:00,8.92915341520533,1.0000000000000095,1.0,0.0,Deactivated,black
Finland,2010-01-01,2010-01-01 00:00:00,7.070227498168951,4.939610971263118,5.0,0.0,Deactivated,black
France,2010-01-01,2010-01-01 00:00:00,3.412786946241856,4.018593689961723,4.0,0.0,Deactivated,black
Germany,2010-01-01,2010-01-01 00:00:00,3.942387157148547,5.0040803104544995,5.0,0.0,Deactivated,black
Greece,2010-01-01,2010-01-01 00:00:00,8.92915341520533,1.0000000000000095,1.0,0.0,Deactivated,black
Hungary,2010-01-01,2010-01-01 00:00:00,3.760462131597334,6.013102702868682,6.0,0.0,Deactivated,black
India,2010-01-01,2010-01-01 00:00:00,8.922052727531298,3.0000000000000098,3.0,0.0,Deactivated,black
Ireland,2010-01-01,2010-01-01 00:00:00,4.505168352881468,3.9818560514181587,4.0,0.0,Deactivated,black
Italy,2010-01-01,2010-01-01 00:00:00,4.04874719718595,3.008887434779144,3.0,0.0,Deactivated,black
Japan,2010-01-01,2010-01-01 00:00:00,8.92915341520533,1.0000000000000095,1.0,0.0,Deactivated,black
Malaysia,2010-01-01,2010-01-01 00:00:00,3.9806205556467975,3.0102506368680277,3.0,0.0,Deactivated,black
Malta,2010-01-01,2010-01-01 00:00:00,8.922052727531298,1.0000000000000033,1.0,0.0,Deactivated,black
Netherlands,2010-01-01,2010-01-01 00:00:00,4.133818127071709,5.013130895719239,5.0,0.0,Deactivated,black
New Zealand,2010-01-01,2010-01-01 00:00:00,3.590142551301,3.9987520683446403,4.0,0.0,Deactivated,black
Norway,2010-01-01,2010-01-01 00:00:00,4.359542022202692,5.010569401925627,5.0,0.0,Deactivated,black
China,2010-01-01,2010-01-01 00:00:00,7.517809820913125,11.000058882743735,11.0,0.0,Deactivated,black
Philippines,2010-01-01,2010-01-01 00:00:00,5.618861736616096,2.000782467443336,2.0,0.0,Deactivated,black
Poland,2010-01-01,2010-01-01 00:00:00,8.922052727531298,1.0000000000000033,1.0,0.0,Deactivated,black
Romania,2010-01-01,2010-01-01 00:00:00,8.922052727531298,2.0000000000000067,2.0,0.0,Deactivated,black
Serbia,2010-01-01,2010-01-01 00:00:00,8.922052727531298,1.0000000000000033,1.0,0.0,Deactivated,black
Singapore,2010-01-01,2010-01-01 00:00:00,3.078181069111921,2.0114105771455026,2.0,0.0,Deactivated,black
South Africa,2010-01-01,2010-01-01 00:00:00,4.228045352488257,2.002851515375896,2.0,0.0,Deactivated,black
South Korea,2010-01-01,2010-01-01 00:00:00,4.69961495317846,2.001700053745578,2.0,0.0,Deactivated,black
Spain,2010-01-01,2010-01-01 00:00:00,8.922052727531298,2.0000000000000067,2.0,0.0,Deactivated,black
Switzerland,2010-01-01,2010-01-01 00:00:00,3.579057287958522,4.013943772476333,4.0,0.0,Deactivated,black
Turkey,2010-01-01,2010-01-01 00:00:00,8.922052727531298,2.0000000000000067,2.0,0.0,Deactivated,black
U Arab Emirates,2010-01-01,2010-01-01 00:00:00,8.92915341520533,1.0000000000000095,1.0,0.0,Deactivated,black
USA,2010-01-01,2010-01-01 00:00:00,3.5468799765647563,90.3247085762412,90.0,0.0,Deactivated,black
UK,2010-01-01,2010-01-01 00:00:00,3.5425198729686738,58.14581793913433,58.0,0.0,Deactivated,black
Australia,2010-07-01,2010-07-01 00:00:00,3.5668858075913326,20.08290535532275,20.0,0.0,Deactivated,black
Austria,2010-07-01,2010-07-01 00:00:00,8.914611948933949,1.0000000000000617,1.0,0.0,Deactivated,black
Belgium,2010-07-01,2010-07-01 00:00:00,5.212353327328562,2.0011553017365227,2.0,0.0,Deactivated,black
Brazil,2010-07-01,2010-07-01 00:00:00,3.7400555760852656,2.0048736626952617,2.0,0.0,Deactivated,black
Canada,2010-07-01,2010-07-01 00:00:00,3.67348225749138,12.02724940430337,12.0,0.0,Deactivated,black
Chile,2010-07-01,2010-07-01 00:00:00,8.922052727531298,1.0000000000000033,1.0,0.0,Deactivated,black
Czech Republic,2010-07-01,2010-07-01 00:00:00,7.025503222214167,5.000376746740704,5.0,0.0,Deactivated,black
