,Topic,Words,Frequency,Timestamp
0,-1,"mmt, electronics, sulphated, wholesaling, trials",2,2006-12-25 14:36:57.600
1,7,"tricky, erasing, thoracic, editor, bet",5,2006-12-25 14:36:57.600
2,54,"doctors, conferences, medical, example, lead",1,2006-12-25 14:36:57.600
3,56,"risks, company, companies, responding, climate",1,2006-12-25 14:36:57.600
4,-1,"fibres, wsp, brownfield, fuel, ponds",9,2007-07-02 14:24:00.000
5,1,"cows, found, footprint, carbon, milk",1,2007-07-02 14:24:00.000
6,2,"counting, buildings, methodologies, fundamentals, cities",1,2007-07-02 14:24:00.000
7,3,"chain, supply, reengineering, subcontractor, network",1,2007-07-02 14:24:00.000
8,4,"caes, intermittencies, compressed, storage, incompressible",1,2007-07-02 14:24:00.000
9,7,"undoing, katrina, hurricane, embraces, shrink",7,2007-07-02 14:24:00.000
10,9,"tourism, space, spaceports, orbital, links",2,2007-07-02 14:24:00.000
11,14,"antenna, wireless, telephones, rohs, minimal",1,2007-07-02 14:24:00.000
12,21,"asian, consumer, vegetables, traceability, consumers",1,2007-07-02 14:24:00.000
13,35,"philippines, ethanol, sugar, sugarcane, glut",1,2007-07-02 14:24:00.000
14,51,"luv, hydrogen, fleet, fuel, powered",1,2007-07-02 14:24:00.000
15,62,"electrical, charging, power, vehicles, comforts",1,2007-07-02 14:24:00.000
16,99,"structuring, eu, met, electricity, singlehandedly",1,2007-07-02 14:24:00.000
17,104,"drying, dryers, modeling, innovation, speedier",1,2007-07-02 14:24:00.000
18,127,"metal, copper, recycling, ore, mining",1,2007-07-02 14:24:00.000
19,-1,"chp, laparoscopic, forklifts, mu, heat",8,2008-01-01 04:48:00.000
20,7,"lighten, urged, shrink, biofuels, size",2,2008-01-01 04:48:00.000
21,13,"household, income, households, distributional, international",1,2008-01-01 04:48:00.000
22,37,"degrowth, conferences, decreasing, scientific, promote",1,2008-01-01 04:48:00.000
23,44,"fired, coal, oxyfuel, postcombustion, ll",1,2008-01-01 04:48:00.000
24,50,"cellulose, cellulosic, hydrolysis, ethanol, biofuels",1,2008-01-01 04:48:00.000
25,54,"nhs, bma, says, culture, cut",2,2008-01-01 04:48:00.000
